session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62b5a50ba03eec7eb06eada1,62b43bf0f9d1877fbdfbbe53,APPROVED,2022-06-24 11:50:57.677000,2022-06-24 11:54:11.216000,193.539,24,1,0,100,2022-06-26 21:47:41.980000,2DA8D5B4,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
62b5a511998ee3163276309c,6159de10541d8eac8016d545,APPROVED,2022-06-24 11:50:44.045000,2022-06-24 11:53:55.423000,191.378,27,137,2,99,2022-06-26 21:47:42.042000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
62b5a524753e2328949e338e,5e9d59e26627630009d1f013,APPROVED,2022-06-24 11:51:08.496000,2022-06-24 12:00:13.721000,545.225,25,37,0,100,2022-06-26 21:47:42.098000,2DA8D5B4,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62b5a52e6e0d814c1858ca68,60813ad599f8aaedaf52ba29,APPROVED,2022-06-24 11:51:12.123000,2022-06-24 11:56:14.452000,302.329,44,258,1,100,2022-06-26 21:47:42.154000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
62b5a5795f7d236a77704668,5f021fb3f119a1397d5c53fa,APPROVED,2022-06-24 11:52:28.196000,2022-06-24 11:57:02.258000,274.062,36,160,1,100,2022-06-26 21:47:42.214000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5a5f9d6e3a4a1faf14ab1,5dfab99508267580dcdafe05,APPROVED,2022-06-24 11:54:36.602000,2022-06-24 11:58:42.395000,245.793,38,1741,1,100,2022-06-26 21:47:42.274000,2DA8D5B4,United States,United States,Unemployed (and job seeking),English,United States,Male,No
62b5a5fca02080a2982cdb8a,5b64233aec9b8000017ec360,APPROVED,2022-06-24 11:54:40.854000,2022-06-24 12:04:04.937000,564.083,38,432,1,100,2022-06-26 21:47:42.328000,2DA8D5B4,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
62b5a61b40eff942418fa240,60fc2220e5b6f3a077f0d742,APPROVED,2022-06-24 11:55:09.898000,2022-06-24 11:58:49.341000,219.443,19,171,6,96,2022-06-26 21:47:42.384000,2DA8D5B4,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
62b5a6525b85af35a0dffc78,5da86d3475d0bc001951ff5c,APPROVED,2022-06-24 11:56:06.178000,2022-06-24 12:07:11.681000,665.503,34,339,4,99,2022-06-26 21:47:42.439000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
62b5a66acc671bc5289e339e,5a68c9f563394a000155cbe5,APPROVED,2022-06-24 11:56:32.851000,2022-06-24 12:04:27.851000,475.0,62,311,1,100,2022-06-26 21:47:42.497000,2DA8D5B4,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
62b5a68a9d655d227cf27ae3,5ea7f7d916db531e64cb2d5f,APPROVED,2022-06-24 11:57:41.236000,2022-06-24 12:02:45.165000,303.929,27,531,11,98,2022-06-26 21:47:42.556000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
62b5a6c62d650da5de58ca6e,59479251f236120001ecf9a2,APPROVED,2022-06-24 11:58:12.854000,2022-06-24 12:04:30.488000,377.634,52,806,5,99,2022-06-26 21:47:42.610000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
62b5a700ce955183760c577f,614e31ad5927c89cb387915d,APPROVED,2022-06-24 11:58:59.800000,2022-06-24 12:11:17.053000,737.253,32,90,0,100,2022-06-26 21:47:42.668000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
62b5a72aca44b28f7dfa46e3,5dd9bd7bf85b50953fdf003c,APPROVED,2022-06-24 11:59:44.052000,2022-06-24 12:07:25.848000,461.796,25,118,1,100,2022-06-26 21:47:42.723000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
62b5a73de9db72a423784cee,5ffd5a764aaf1d286d48482a,APPROVED,2022-06-24 11:59:59.330000,2022-06-24 12:10:21.106000,621.776,29,127,1,100,2022-06-26 21:47:42.783000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
62b5a740458e1e71d21ffd07,5ea75821ee39871103f18a76,APPROVED,2022-06-24 12:00:41.486000,2022-06-24 12:16:35.458000,953.972,60,551,7,98,2022-06-26 21:47:42.841000,2DA8D5B4,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
62b5a787522f0eea31c579d8,5ca8daf1ad1a69001638bae4,APPROVED,2022-06-24 12:01:20.753000,2022-06-24 12:11:07.526000,586.773,66,332,2,100,2022-06-26 21:47:42.895000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
62b5a7877183e5aa89400b4a,5f97253793335b0a74991119,APPROVED,2022-06-24 12:01:34.642000,2022-06-24 12:12:26.145000,651.503,71,348,1,100,2022-06-26 21:47:42.956000,2DA8D5B4,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62b5a7aba2a4911e6358ca6a,5d26c8bc341630001a250a2f,APPROVED,2022-06-24 12:01:54.237000,2022-06-24 12:08:11.887000,377.65,64,620,3,100,2022-06-26 21:47:43.014000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
62b5a7b17be850b7eab08de6,56ba61ad9de5f7000ba4ac37,APPROVED,2022-06-24 12:01:57.727000,2022-06-24 12:05:45.041000,227.314,34,768,2,100,2022-06-26 21:47:43.072000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
62b5a7cbfe9db10d1eed066a,611a534847508cf4efe439f9,APPROVED,2022-06-24 12:02:33.566000,2022-06-24 12:12:50.858000,617.292,60,133,2,99,2022-06-26 21:47:43.129000,2DA8D5B4,Germany,United Kingdom,Full-Time,English,United Kingdom,Male,No
62b5a7cccebaff4000bb68b4,62b245a1c924f1a048bd40f9,APPROVED,2022-06-24 12:02:56.118000,2022-06-24 12:08:44.248000,348.13,27,2,0,100,2022-06-26 21:47:43.187000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
62b5a7d0c02af8d56a6eada8,5bfc573be2541f0001d55985,APPROVED,2022-06-24 12:02:28.431000,2022-06-24 12:08:49.321000,380.89,40,165,2,98,2022-06-26 21:47:43.243000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
62b5a7dccebaff4000bb68b6,5a78e410ae9a0b0001a97274,APPROVED,2022-06-24 12:02:42.811000,2022-06-24 12:07:25.459000,282.648,30,2213,2,100,2022-06-26 21:47:43.302000,2DA8D5B4,United States,United States,Part-Time,English,United States,Female,No
62b5a7ddc5dafed074a89df7,5b5500c44bbe600001469046,APPROVED,2022-06-24 12:02:39.493000,2022-06-24 12:11:46.916000,547.423,25,500,4,99,2022-06-26 21:47:43.526000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,Yes
62b5a7e4a281eeae7df6cc65,60eec4cb6baff7af36bc4c45,APPROVED,2022-06-24 12:02:47.755000,2022-06-24 12:08:12.806000,325.051,25,148,1,100,2022-06-26 21:47:43.579000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5a8006af892d9e27d1f08,5eaeddb6a7e04f5af6b3e879,APPROVED,2022-06-24 12:03:12.487000,2022-06-24 12:19:35.696000,983.209,59,601,0,100,2022-06-26 21:47:43.633000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
62b5a811552760a81c80c28a,629df0fe763515c1309eb2d3,APPROVED,2022-06-24 12:03:34.513000,2022-06-24 12:11:44.222000,489.709,59,21,0,100,2022-06-26 21:47:43.695000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
